mod,biome,precipitation_type,temperature,modifier,downfall,dayNightOffset,humidity,biomeCategory
byg,autumnal_valley,RAIN,0.774,NONE,0.8,0.33433735,60.0,PLAINS
byg,skyris_vale,RAIN,0.351,NONE,0.8,0.22289157,60.0,BOG
twilightforest,swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,basalt_deltas,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,autumnal_forest,RAIN,0.663,NONE,0.9,0.26746988,20.0,FOREST
twilightforest,snowy_forest,SNOW,-0.073000014,NONE,0.9,0.13373494,20.0,COLD_FOREST
byg,imparius_grove,NONE,0.551,NONE,0.8,0.0,40.0,THEEND
byg,borealis_grove,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
minecraft,the_void,NONE,0.15,NONE,0.5,0.0,40.0,NONE
byg,ethereal_islands,NONE,0.551,NONE,0.8,0.0,40.0,THEEND
minecraft,frozen_river,SNOW,0.10499999,NONE,0.5,0.111445785,20.0,RIVER
biomesoplenty,cold_desert,NONE,0.395,NONE,0.0,0.44578314,20.0,COLD_DESERT
biomesoplenty,lush_savanna,RAIN,0.886,NONE,0.5,0.33433735,60.0,LUSH_DESERT
biomesoplenty,shrubland,RAIN,0.774,NONE,0.05,0.33433735,60.0,PLAINS
biomesoplenty,tropics,RAIN,0.997,NONE,1.0,0.33433735,90.0,JUNGLE
byg,arisian_undergrowth,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,subzero_hypogeal,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,mushroom_fields,RAIN,0.685,NONE,1.0,0.26746988,70.0,MUSHROOM
minecraft,mangrove_swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,savanna_plateau,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
twilightforest,glacier,RAIN,0.507,NONE,0.1,0.111445785,20.0,ICY
minecraft,soul_sand_valley,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,taiga,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
biomesoplenty,redwood_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,dead_forest,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
minecraft,flower_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
byg,weeping_witch_forest,RAIN,0.351,NONE,0.8,0.22289157,60.0,BOG
byg,bulbis_gardens,NONE,0.551,NONE,0.8,0.0,40.0,THEEND
biomesoplenty,erupting_inferno,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,undergrowth,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,bayou,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,warped_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,deep_dark,RAIN,0.663,NONE,0.4,0.26746988,40.0,UNDERGROUND
biomesoplenty,floodplain,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
twilightforest,oak_savannah,RAIN,0.663,NONE,0.0,0.26746988,20.0,FOREST
biomesoplenty,seasonal_orchard,RAIN,0.373,NONE,0.8,0.26746988,20.0,COLD_FOREST
biomesoplenty,origin_valley,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,glowing_grotto,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
biomesoplenty,spider_nest,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
byg,amaranth_fields,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
byg,lush_stacks,RAIN,0.73,NONE,0.8,0.22289157,70.0,WARM_OCEAN
biomesoplenty,pasture,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
minecraft,deep_frozen_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
biomesoplenty,bayou,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
byg,atacama_desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
byg,dead_sea,RAIN,1.04,NONE,0.0,0.33433735,35.0,DEAD_SEA
byg,zelkova_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
byg,allium_fields,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
minecraft,sparse_jungle,RAIN,0.997,NONE,0.8,0.33433735,90.0,JUNGLE
minecraft,nether_wastes,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,ominous_woods,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
twilightforest,stream,RAIN,0.551,NONE,0.1,0.22289157,20.0,RIVER
minecraft,badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
biomesoplenty,old_growth_dead_forest,RAIN,0.507,NONE,0.3,0.22289157,20.0,TAIGA
biomesoplenty,highland_moor,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
minecraft,crimson_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,ebony_woods,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,windswept_forest,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
byg,aspen_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
byg,white_mangrove_marshes,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,stony_peaks,RAIN,0.618,NONE,0.3,0.22289157,20.0,MOUNTAIN
minecraft,birch_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
byg,maple_taiga,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
biomesoplenty,mediterranean_forest,RAIN,0.886,NONE,0.275,0.33433735,60.0,LUSH_DESERT
byg,crag_gardens,RAIN,0.997,NONE,0.8,0.33433735,90.0,JUNGLE
twilightforest,dense_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,beach,RAIN,0.663,NONE,0.4,0.22289157,70.0,BEACH
byg,frosted_taiga,SNOW,0.06100002,NONE,0.8,0.111445785,20.0,TAIGA
minecraft,windswept_savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
twilightforest,fire_swamp,NONE,0.685,NONE,0.4,0.26746988,90.0,SWAMP
biomesoplenty,jade_cliffs,RAIN,0.618,NONE,0.85,0.22289157,50.0,EXTREME_HILLS
minecraft,sunflower_plains,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
minecraft,ice_spikes,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
twilightforest,underground,RAIN,0.663,NONE,0.0,0.26746988,40.0,UNDERGROUND
minecraft,ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
byg,rose_fields,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
biomesoplenty,forested_field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
byg,prairie,RAIN,0.774,NONE,0.2,0.33433735,60.0,PLAINS
byg,sythian_torrids,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,snowy_maple_woods,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
byg,howling_peaks,SNOW,0.17199996,NONE,1.0,0.111445785,20.0,MOUNTAIN
minecraft,wooded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
byg,ivis_fields,NONE,0.551,NONE,0.8,0.0,40.0,THEEND
biomesoplenty,lush_desert,RAIN,0.886,NONE,0.5,0.33433735,60.0,LUSH_DESERT
byg,embur_bog,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,bog,RAIN,0.351,NONE,0.5,0.22289157,60.0,BOG
byg,canadian_shield,RAIN,0.507,NONE,0.5,0.22289157,20.0,TAIGA
byg,forgotten_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,dark_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,end_highlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,river,RAIN,0.551,NONE,0.5,0.22289157,20.0,RIVER
biomesoplenty,highland,RAIN,0.618,NONE,0.6,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,orchard,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
biomesoplenty,fir_clearing,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,cherry_blossom_grove,RAIN,0.774,NONE,0.9,0.33433735,60.0,PLAINS
minecraft,warm_ocean,RAIN,0.73,NONE,0.5,0.22289157,70.0,WARM_OCEAN
biomesoplenty,prairie,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
minecraft,end_barrens,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,small_end_islands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,old_growth_pine_taiga,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
byg,baobab_savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
byg,basalt_barrera,RAIN,0.663,NONE,0.75,0.22289157,70.0,BEACH
minecraft,old_growth_spruce_taiga,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
minecraft,snowy_plains,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
minecraft,cold_ocean,RAIN,0.373,NONE,0.5,0.111445785,20.0,COLD_OCEAN
minecraft,snowy_beach,SNOW,0.21699998,NONE,0.3,0.111445785,20.0,BEACH
twilightforest,firefly_forest,RAIN,0.663,NONE,1.0,0.26746988,20.0,FOREST
biomesoplenty,rocky_rainforest,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
byg,viscal_isles,NONE,0.551,NONE,0.4,0.0,40.0,THEEND
byg,magma_wastes,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,frosted_coniferous_forest,SNOW,0.06100002,NONE,0.8,0.111445785,20.0,TAIGA
biomesoplenty,snowy_fir_clearing,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
biomesoplenty,scrubland,NONE,1.108,NONE,0.15,0.33433735,30.0,SAVANNA
twilightforest,dense_mushroom_forest,RAIN,0.685,NONE,1.0,0.26746988,70.0,MUSHROOM
byg,dacite_shore,RAIN,0.351,NONE,0.8,0.22289157,60.0,BOG
biomesoplenty,tundra,RAIN,0.351,NONE,0.5,0.22289157,60.0,BOG
minecraft,the_end,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
byg,red_rock_valley,RAIN,1.309,NONE,0.1,0.33433735,20.0,MESA
twilightforest,thornlands,RAIN,0.886,NONE,0.2,0.33433735,35.0,DRYLAND
biomesoplenty,auroral_garden,SNOW,0.21699998,NONE,0.5,0.13373494,20.0,FOREST
twilightforest,spooky_forest,RAIN,0.663,NONE,1.0,0.26746988,20.0,FOREST
byg,cardinal_tundra,SNOW,0.32799998,NONE,0.4,0.16716868,20.0,PLAINS
minecraft,windswept_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
byg,quartz_desert,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,old_growth_woodland,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,visceral_heap,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,coniferous_forest,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,rocky_shrubland,RAIN,0.774,NONE,0.05,0.33433735,20.0,PLAINS
byg,nightshade_forest,NONE,0.551,NONE,0.4,0.0,40.0,THEEND
byg,fragment_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,wasteland_steppe,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
biomesoplenty,field,RAIN,0.774,NONE,0.7,0.33433735,20.0,PLAINS
twilightforest,enchanted_forest,NONE,0.663,NONE,0.5,0.26746988,20.0,FOREST
twilightforest,dark_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,windswept_gravelly_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,bamboo_grove,RAIN,0.774,NONE,0.9,0.33433735,20.0,PLAINS
biomesoplenty,muskeg,SNOW,0.06100002,NONE,0.6,0.055722892,20.0,ICY
byg,coniferous_forest,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
byg,coconino_meadow,RAIN,0.774,NONE,0.8,0.33433735,20.0,PLAINS
minecraft,swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
minecraft,plains,RAIN,0.774,NONE,0.4,0.33433735,20.0,PLAINS
byg,jacaranda_forest,RAIN,0.886,NONE,0.5,0.33433735,95.0,RAINFOREST
biomesoplenty,dryland,NONE,0.886,NONE,0.05,0.33433735,35.0,DRYLAND
biomesoplenty,marsh,RAIN,0.685,NONE,0.7,0.26746988,90.0,SWAMP
biomesoplenty,wasteland,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
minecraft,stony_shore,RAIN,0.663,NONE,0.3,0.22289157,20.0,BEACH
minecraft,bamboo_jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
minecraft,deep_lukewarm_ocean,RAIN,0.596,NONE,0.5,0.22289157,70.0,DEEP_LUKEWARM_OCEAN
biomesoplenty,rainforest,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
minecraft,lukewarm_ocean,RAIN,0.64,NONE,0.5,0.22289157,70.0,LUKEWARM_OCEAN
byg,crimson_gardens,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
byg,rainbow_beach,RAIN,0.663,NONE,0.75,0.22289157,20.0,BEACH
biomesoplenty,volcanic_plains,NONE,1.04,NONE,0.3,0.33433735,35.0,VOLCANIC
minecraft,frozen_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
byg,autumnal_taiga,RAIN,0.507,NONE,0.8,0.22289157,20.0,TAIGA
byg,firecracker_shrubland,RAIN,1.108,NONE,0.4,0.33433735,30.0,SAVANNA
