mod,biome,precipitation_type,temperature,modifier,downfall,dayNightOffset,humidity,biomeCategory
minecraft,basalt_deltas,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
twilightforest,thornlands,RAIN,0.886,NONE,0.2,0.33433735,35.0,DRYLAND
biomesoplenty,lavender_forest,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,snowy_coniferous_forest,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
biomesoplenty,snowblossom_grove,SNOW,0.21699998,NONE,0.8,0.13373494,20.0,FOREST
minecraft,meadow,RAIN,0.618,NONE,0.8,0.22289157,20.0,MOUNTAIN
biomesoplenty,lush_desert,RAIN,0.886,NONE,0.5,0.33433735,60.0,LUSH_DESERT
biomesoplenty,wasteland,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
biomesoplenty,lavender_field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,forested_field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
biomesoplenty,crystalline_chasm,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,sparse_jungle,RAIN,0.997,NONE,0.8,0.33433735,90.0,JUNGLE
minecraft,frozen_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
minecraft,nether_wastes,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
twilightforest,dense_mushroom_forest,RAIN,0.685,NONE,1.0,0.26746988,70.0,MUSHROOM
minecraft,cold_ocean,RAIN,0.373,NONE,0.5,0.111445785,20.0,COLD_OCEAN
biomesoplenty,dryland,NONE,0.886,NONE,0.05,0.33433735,35.0,DRYLAND
minecraft,river,RAIN,0.551,NONE,0.5,0.22289157,70.0,RIVER
biomesoplenty,cold_desert,NONE,0.395,NONE,0.0,0.44578314,20.0,COLD_DESERT
biomesoplenty,prairie,RAIN,0.774,NONE,0.3,0.33433735,60.0,PLAINS
minecraft,end_highlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
biomesoplenty,origin_valley,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
minecraft,lush_caves,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
minecraft,grove,SNOW,0.21699998,NONE,0.8,0.13373494,20.0,FOREST
minecraft,mushroom_fields,RAIN,0.685,NONE,1.0,0.26746988,70.0,MUSHROOM
twilightforest,fire_swamp,NONE,0.685,NONE,0.4,0.26746988,90.0,SWAMP
minecraft,stony_peaks,RAIN,0.618,NONE,0.3,0.22289157,20.0,MOUNTAIN
minecraft,savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
biomesoplenty,fungal_jungle,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
twilightforest,firefly_forest,RAIN,0.663,NONE,1.0,0.26746988,20.0,FOREST
minecraft,old_growth_pine_taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
biomesoplenty,ominous_woods,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
minecraft,crimson_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,snowy_maple_woods,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
biomesoplenty,tropics,RAIN,0.997,NONE,1.0,0.33433735,90.0,JUNGLE
minecraft,end_midlands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
twilightforest,lake,RAIN,0.551,NONE,1.0,0.22289157,70.0,RIVER
minecraft,snowy_beach,SNOW,0.21699998,NONE,0.3,0.111445785,20.0,BEACH
biomesoplenty,mystic_grove,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,old_growth_dead_forest,RAIN,0.507,NONE,0.3,0.22289157,50.0,TAIGA
biomesoplenty,bog,RAIN,0.351,NONE,0.5,0.22289157,60.0,BOG
biomesoplenty,jade_cliffs,RAIN,0.618,NONE,0.85,0.22289157,50.0,EXTREME_HILLS
minecraft,desert,NONE,1.354,NONE,0.0,0.44578314,20.0,DESERT
biomesoplenty,fir_clearing,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
twilightforest,dark_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,plains,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
biomesoplenty,volcano,NONE,1.04,NONE,0.3,0.33433735,35.0,VOLCANIC
minecraft,ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
minecraft,deep_lukewarm_ocean,RAIN,0.596,NONE,0.5,0.22289157,70.0,DEEP_LUKEWARM_OCEAN
minecraft,taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
minecraft,frozen_ocean,SNOW,-0.073000014,NONE,0.5,0.055722892,20.0,COLD_OCEAN
minecraft,flower_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
twilightforest,stream,RAIN,0.551,NONE,0.1,0.22289157,70.0,RIVER
twilightforest,underground,RAIN,0.663,NONE,0.0,0.26746988,40.0,UNDERGROUND
biomesoplenty,seasonal_orchard,RAIN,0.373,NONE,0.8,0.26746988,60.0,COLD_FOREST
minecraft,mangrove_swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
biomesoplenty,moor,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,grassland,RAIN,0.774,NONE,0.9,0.33433735,60.0,PLAINS
twilightforest,highlands,RAIN,0.886,NONE,0.7,0.33433735,35.0,DRYLAND
minecraft,windswept_savanna,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
biomesoplenty,spider_nest,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
minecraft,warm_ocean,RAIN,0.73,NONE,0.5,0.22289157,70.0,WARM_OCEAN
biomesoplenty,glowing_grotto,RAIN,0.663,NONE,0.5,0.26746988,40.0,UNDERGROUND
twilightforest,snowy_forest,SNOW,-0.073000014,NONE,0.9,0.13373494,20.0,COLD_FOREST
minecraft,dark_forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,lukewarm_ocean,RAIN,0.64,NONE,0.5,0.22289157,70.0,LUKEWARM_OCEAN
minecraft,deep_ocean,RAIN,0.551,NONE,0.5,0.22289157,70.0,OCEAN
biomesoplenty,clover_patch,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
minecraft,cherry_grove,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
biomesoplenty,coniferous_forest,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,muskeg,SNOW,0.06100002,NONE,0.6,0.055722892,20.0,ICY
minecraft,old_growth_birch_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
minecraft,forest,RAIN,0.663,NONE,0.8,0.26746988,20.0,FOREST
minecraft,birch_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,wetland,RAIN,0.685,NONE,0.7,0.26746988,90.0,SWAMP
minecraft,savanna_plateau,NONE,1.108,NONE,0.0,0.33433735,30.0,SAVANNA
biomesoplenty,wasteland_steppe,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
biomesoplenty,shrubland,RAIN,0.774,NONE,0.05,0.33433735,60.0,PLAINS
minecraft,jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
biomesoplenty,rocky_rainforest,RAIN,0.886,NONE,2.0,0.33433735,95.0,RAINFOREST
biomesoplenty,visceral_heap,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
biomesoplenty,redwood_forest,RAIN,0.663,NONE,0.6,0.26746988,20.0,FOREST
biomesoplenty,snowy_fir_clearing,SNOW,0.17199996,NONE,0.5,0.111445785,20.0,MOUNTAIN
minecraft,beach,RAIN,0.663,NONE,0.4,0.22289157,20.0,BEACH
minecraft,warped_forest,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,dripstone_caves,RAIN,0.663,NONE,0.4,0.26746988,40.0,UNDERGROUND
biomesoplenty,old_growth_woodland,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
twilightforest,swamp,RAIN,0.685,NONE,0.9,0.26746988,90.0,SWAMP
biomesoplenty,tundra,RAIN,0.351,NONE,0.5,0.22289157,60.0,BOG
biomesoplenty,seasonal_forest,RAIN,0.373,NONE,0.8,0.26746988,20.0,COLD_FOREST
biomesoplenty,lush_savanna,RAIN,0.886,NONE,0.5,0.33433735,60.0,LUSH_DESERT
minecraft,windswept_forest,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,field,RAIN,0.774,NONE,0.7,0.33433735,60.0,PLAINS
twilightforest,clearing,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
minecraft,the_void,NONE,0.15,NONE,0.5,0.0,40.0,NONE
biomesoplenty,pumpkin_patch,RAIN,0.373,NONE,0.8,0.26746988,20.0,COLD_FOREST
biomesoplenty,maple_woods,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
biomesoplenty,orchard,RAIN,0.774,NONE,0.4,0.33433735,60.0,PLAINS
twilightforest,spooky_forest,RAIN,0.663,NONE,1.0,0.26746988,20.0,FOREST
twilightforest,dark_forest_center,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
minecraft,bamboo_jungle,RAIN,0.997,NONE,0.9,0.33433735,90.0,JUNGLE
biomesoplenty,withered_abyss,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,old_growth_spruce_taiga,RAIN,0.507,NONE,0.8,0.22289157,50.0,TAIGA
minecraft,wooded_badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
minecraft,snowy_slopes,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
minecraft,ice_spikes,SNOW,0.06100002,NONE,0.5,0.055722892,20.0,ICY
minecraft,snowy_taiga,SNOW,0.06100002,NONE,0.4,0.111445785,20.0,TAIGA
biomesoplenty,volcanic_plains,NONE,1.04,NONE,0.3,0.33433735,35.0,VOLCANIC
biomesoplenty,mediterranean_forest,RAIN,0.886,NONE,0.275,0.33433735,60.0,LUSH_DESERT
biomesoplenty,highland,RAIN,0.618,NONE,0.6,0.22289157,50.0,EXTREME_HILLS
minecraft,the_end,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,jagged_peaks,SNOW,0.17199996,NONE,0.9,0.111445785,20.0,MOUNTAIN
twilightforest,forest,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
twilightforest,enchanted_forest,NONE,0.663,NONE,0.5,0.26746988,20.0,FOREST
twilightforest,final_plateau,RAIN,0.886,NONE,0.2,0.33433735,35.0,DRYLAND
minecraft,small_end_islands,NONE,0.551,NONE,0.5,0.0,40.0,THEEND
minecraft,frozen_river,SNOW,0.10499999,NONE,0.5,0.111445785,20.0,RIVER
biomesoplenty,woodland,RAIN,0.663,NONE,0.5,0.26746988,20.0,FOREST
minecraft,windswept_hills,RAIN,0.618,NONE,0.3,0.22289157,50.0,EXTREME_HILLS
biomesoplenty,dune_beach,RAIN,0.663,NONE,0.4,0.22289157,20.0,BEACH
biomesoplenty,undergrowth,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
minecraft,badlands,NONE,1.309,NONE,0.0,0.33433735,20.0,MESA
twilightforest,glacier,SNOW,0.06100002,NONE,0.1,0.055722892,20.0,ICY
minecraft,soul_sand_valley,NONE,1.666,NONE,0.0,0.0,20.0,NETHER
